date,forecast,actual,actual_rounded,bin_low,bin_high,model_prob,outcome,kalshi_match
2025-01-01,79.8,77.5,78,77.0,78.0,0.3606,0,1
2025-01-02,76.6,75.5,76,76.0,77.0,0.2734,0,1
2025-01-03,75.95,75.1,75,75.0,76.0,0.3131,0,1
2025-01-04,70.6,70.4,70,70.0,71.0,0.2734,0,1
2025-01-05,72.45,74.2,74,73.0,74.0,0.1304,0,1
2025-01-06,79.0,80.3,80,80.0,81.0,0.0854,1,1
2025-01-07,72.4,73.0,73,72.0,73.0,0.2485,0,1
2025-01-08,69.9,70.2,70,69.0,70.0,0.3078,0,1
2025-01-09,65.9,66.1,66,65.0,66.0,0.3078,0,1
2025-01-10,70.45,73.7,74,74.0,75.0,0.01,0,1
2025-01-11,74.05,79.8,80,79.0,80.0,0.01,0,1
2025-01-12,74.5,74.2,74,73.0,74.0,0.359,0,1
2025-01-13,76.65,81.0,81,81.0,,0.01,0,1
2025-01-14,73.0,77.4,77,76.0,77.0,0.01,0,1
2025-01-15,73.5,74.5,74,73.0,74.0,0.2611,0,1
2025-01-16,71.9,73.7,74,73.0,74.0,0.0769,1,1
2025-01-17,68.7,71.4,71,71.0,72.0,0.0158,1,1
2025-01-18,80.05,80.2,80,80.0,81.0,0.2035,0,1
2025-01-19,82.55,80.2,80,79.0,80.0,0.3069,0,1
2025-01-20,76.9,73.5,74,73.0,,0.85,0,1
2025-01-21,77.4,77.3,77,77.0,78.0,0.2485,0,1
2025-01-22,72.7,71.8,72,72.0,,0.3495,0,1
2025-01-23,58.8,67.2,67,67.0,68.0,0.01,0,1
2025-01-24,59.55,59.3,59,58.0,59.0,0.3619,1,1
2025-01-25,69.6,68.6,69,68.0,69.0,0.3646,0,1
2025-01-26,72.35,72.4,72,72.0,73.0,0.2422,0,1
2025-01-27,76.4,75.8,76,76.0,77.0,0.2485,0,1
2025-01-28,77.45,76.0,76,76.0,77.0,0.3558,0,1
2025-01-29,78.35,79.1,79,79.0,,0.1284,1,1
2025-01-30,76.7,78.8,79,79.0,80.0,0.0158,1,1
2025-01-31,76.7,79.2,79,78.0,79.0,0.0616,1,1
2025-02-01,81.7,83.1,83,83.0,,0.0642,1,1
2025-02-02,80.15,79.7,80,80.0,81.0,0.2164,0,1
2025-02-03,80.05,78.7,79,79.0,80.0,0.3231,0,1
2025-02-04,80.6,82.9,83,82.0,83.0,0.0548,1,1
2025-02-05,78.9,81.1,81,80.0,,0.0808,1,1
2025-02-06,78.85,81.3,81,80.0,81.0,0.0728,1,1
2025-02-07,80.6,82.8,83,82.0,,0.0569,1,1
2025-02-08,80.25,82.1,82,81.0,82.0,0.1091,1,1
2025-02-09,80.55,82.6,83,83.0,,0.0126,1,1
2025-02-10,80.4,83.1,83,83.0,,0.01,0,1
2025-02-11,79.3,81.1,81,80.0,81.0,0.1142,1,1
2025-02-12,79.4,80.9,81,80.0,81.0,0.1249,0,1
2025-02-13,81.55,83.0,83,82.0,83.0,0.1418,0,1
2025-02-14,82.2,83.3,83,83.0,,0.1109,1,1
2025-02-15,79.55,82.0,82,82.0,83.0,0.0124,1,1
2025-02-16,83.9,85.0,85,85.0,,0.0808,1,1
2025-02-17,79.4,83.2,83,81.0,,0.0442,1,1
2025-02-18,80.8,80.2,80,79.0,80.0,0.373,0,1
2025-02-19,83.15,83.0,83,83.0,84.0,0.2164,1,1
2025-02-20,78.5,80.7,81,80.0,81.0,0.0485,0,1
2025-02-21,72.45,74.8,75,74.0,75.0,0.0456,1,1
2025-02-22,71.7,74.4,74,73.0,74.0,0.0616,0,1
2025-02-23,74.35,75.3,75,74.0,75.0,0.2422,0,1
2025-02-24,73.95,72.6,73,73.0,74.0,0.3131,1,1
2025-02-25,77.55,76.1,76,75.0,76.0,0.3715,0,1
2025-02-26,78.65,76.7,77,76.0,77.0,0.3676,0,1
2025-02-27,79.55,81.0,81,80.0,81.0,0.1418,1,1
2025-02-28,79.55,80.4,80,80.0,,0.1543,1,1
2025-03-01,79.45,83.7,84,84.0,,0.01,0,1
2025-03-02,80.7,83.3,83,82.0,,0.0642,0,1
2025-03-03,76.25,79.6,80,80.0,,0.01,1,1
2025-03-04,76.2,77.5,78,77.0,78.0,0.1041,0,1
2025-03-05,83.1,82.5,82,81.0,82.0,0.3785,0,1
2025-03-06,78.05,76.8,77,76.0,77.0,0.3782,1,1
2025-03-07,74.7,77.0,77,77.0,78.0,0.0158,1,1
2025-03-08,82.2,86.3,86,84.0,,0.0338,1,1
2025-03-09,86.7,88.3,88,87.0,88.0,0.1595,1,1
2025-03-10,87.2,89.5,90,88.0,,0.1109,1,1
2025-03-11,77.25,77.0,77,77.0,78.0,0.2293,0,1
2025-03-12,78.25,80.3,80,80.0,81.0,0.0352,1,1
2025-03-13,77.3,80.0,80,79.0,80.0,0.0376,1,1
2025-03-14,81.05,81.8,82,82.0,83.0,0.0898,1,1
2025-03-15,80.0,81.2,81,80.0,81.0,0.1971,0,1
2025-03-16,83.15,84.5,84,84.0,85.0,0.0992,1,1
2025-03-17,78.65,80.3,80,80.0,81.0,0.0581,0,1
2025-03-18,76.4,77.3,77,76.0,77.0,0.2485,0,1
2025-03-19,78.95,80.8,81,80.0,81.0,0.0811,1,1
2025-03-20,85.2,85.3,85,84.0,85.0,0.3369,1,1
2025-03-21,75.65,77.0,77,76.0,,0.1683,1,1
2025-03-22,75.1,80.3,80,79.0,80.0,0.01,0,1
2025-03-23,76.7,79.9,80,79.0,80.0,0.0158,1,1
2025-03-24,81.4,84.8,85,84.0,85.0,0.01,0,1
2025-03-25,82.5,87.4,87,86.0,,0.01,1,1
2025-03-26,82.35,80.5,80,80.0,81.0,0.3767,0,1
