date,actual_temp,last_price,volume
202-01-,52.5,99,3054
2021-08-19,81.0,99,6575
2021-08-20,83.0,98,3388
2021-08-21,85.0,99,2554
2021-08-22,76.0,99,1473
2021-08-24,90.0,98,12781
2021-08-25,90.0,98,17647
2021-08-26,89.0,99,21974
2021-08-27,91.0,99,9233
2021-08-28,92.0,99,6482
2021-08-30,83.0,99,8234
2021-09-04,74.0,99,20201
2021-09-05,80.0,99,5086
2021-09-06,78.0,99,5287
2021-09-07,87.0,99,5774
2021-09-08,79.0,99,2285
2021-09-09,73.0,99,5858
2021-09-10,80.0,99,8172
2021-09-11,87.0,99,8798
2021-09-12,88.0,99,9659
2021-09-13,84.0,99,12749
2021-09-14,87.0,99,10631
2021-09-15,78.0,99,13680
2021-09-16,82.0,99,370
2021-09-17,88.0,99,3460
2021-09-18,77.0,99,1117
2021-09-19,88.0,95,521
2021-09-21,72.0,99,8624
2021-09-23,64.0,99,3322
2021-09-24,78.0,99,9349
2021-09-25,70.0,99,14791
2021-09-26,79.0,99,7588
2021-09-27,85.0,99,12515
2021-10-01,84.0,99,3507
2021-10-02,80.0,99,10724
2021-10-03,73.0,99,5805
2021-10-04,70.0,99,3664
2021-10-07,72.0,99,2882
2021-10-08,75.0,99,5196
2021-10-09,79.0,99,1629
2021-10-13,73.0,99,5490
2021-10-14,68.0,99,2483
2021-10-15,63.0,99,2995
2021-10-16,59.0,99,1055
2021-10-18,70.0,99,1210
2021-10-19,72.0,99,2433
2021-10-21,59.0,98,12816
2021-10-28,54.0,99,6407
2021-10-30,56.0,99,11978
2021-10-31,53.0,99,2807
2021-11-01,48.0,99,8324
2021-11-02,47.0,95,2493
2021-11-06,59.0,99,1251
2021-11-07,64.0,99,2115
2021-11-08,65.0,99,10699
2021-11-09,56.0,99,925
2021-11-11,56.0,98,5106
2021-11-12,42.0,99,4125
2021-11-13,40.0,99,4100
2021-11-16,54.0,90,1402
2021-11-17,61.0,99,5177
2021-11-18,40.0,99,9388
2021-11-19,38.0,99,1508
2021-11-20,49.0,99,966
2021-11-21,53.0,99,1950
2021-11-22,35.0,99,1369
2021-11-23,42.0,99,3622
2021-11-24,52.0,99,3400
2021-11-25,44.0,99,6496
2021-11-28,38.0,99,2280
2021-11-30,46.0,97,642
2021-12-02,58.0,99,10844
2021-12-03,49.0,97,1215
2021-12-04,45.0,99,4714
2021-12-06,33.0,99,340
2021-12-08,35.0,99,2539
2021-12-09,43.0,99,4625
2021-12-10,51.0,99,8955
2021-12-11,45.0,98,1100
2021-12-12,49.0,99,4214
2021-12-13,48.0,99,2429
2021-12-14,54.0,99,9273
2021-12-15,65.0,99,5142
2021-12-16,62.0,99,11816
2021-12-17,40.0,99,2391
2021-12-18,41.0,99,3393
2021-12-19,38.0,99,5653
2021-12-20,43.0,91,1685
2021-12-21,43.0,99,4260
2021-12-22,31.0,99,3494
2021-12-23,46.0,99,2410
2021-12-24,56.0,99,3195
2021-12-25,53.0,99,2093
2021-12-29,35.0,95,925
2021-12-30,38.0,99,3628
2022-01-01,37.0,99,2861
2022-01-02,29.0,92,1141
2022-01-04,23.0,0,0
2022-01-05,33.0,97,2302
2022-01-08,35.0,93,5740
2022-01-09,34.0,99,2634
2022-01-10,16.0,99,1618
2022-01-11,34.0,99,1665
2022-01-12,40.0,89,3834
2022-01-13,37.0,46,1472
2022-01-14,34.0,99,1999
2022-01-15,26.0,99,5874
2022-01-18,43.0,99,3985
2022-01-19,39.0,99,2339
2022-01-20,21.0,99,5061
2022-01-22,32.0,99,9743
2022-01-23,24.0,99,5516
2022-01-25,12.0,95,2563
2022-01-26,13.0,96,4365
2022-01-27,32.0,99,3270
2022-01-28,22.0,99,2008
2022-01-29,21.0,99,2027
2022-01-30,31.0,99,1771
2022-01-31,33.0,99,1100
2022-02-01,43.0,99,1687
2022-02-02,31.0,99,1606
2022-02-03,25.0,99,1927
2022-02-04,25.0,99,1552
2022-02-05,18.0,99,1832
2022-02-06,32.0,99,1971
2022-02-07,29.0,99,1979
2022-02-08,40.0,99,18642
2022-02-09,40.0,99,2461
2022-02-10,33.0,99,1944
2022-02-11,43.0,99,3914
2022-02-12,26.0,99,2086
2022-02-13,20.0,99,8438
2022-02-15,42.0,99,2640
2022-02-16,52.0,99,2286
2022-02-20,47.0,99,3958
2022-02-21,48.0,99,718
2022-02-22,49.0,99,1091
2022-02-23,25.0,99,2256
2022-02-24,28.0,98,1656
2022-02-25,29.0,90,922
2022-02-27,40.0,99,2141
2022-02-28,49.0,99,1591
2022-03-01,51.0,98,4636
2022-03-02,54.0,99,1634
2022-03-03,35.0,95,1703
2022-03-05,69.0,93,1622
2022-03-06,60.0,99,1646
2022-03-09,42.0,99,1034
2022-03-10,32.0,99,7255
2022-03-13,51.0,95,1085
2022-03-14,60.0,98,1746
2022-03-16,70.0,99,4507
2022-03-17,68.0,99,909
2022-03-18,47.0,99,1078
2022-03-20,64.0,99,2233
2022-03-21,74.0,98,2358
2022-03-22,61.0,99,1812
2022-03-25,49.0,99,20919
2022-03-27,37.0,99,2662
2022-03-29,43.0,99,1439
2022-04-02,43.0,99,2307
2022-04-06,57.0,99,3153
2022-04-08,41.0,99,4270
2022-04-09,48.0,99,2503
2022-04-10,62.0,77,1807
2022-04-11,60.0,99,1194
2022-04-12,71.0,99,3965
