date,actual,persistence,climatology,moving_avg,ensemble_v9,ensemble_v10,ensemble_v11
2025-09-04,88.0,94.0,92.2,93.42857142857143,92.325,92.92,90.2524425418301
2025-09-05,91.0,90.0,92.13333333333334,92.71428571428571,91.93333333333334,92.53333333333333,90.04623198495989
2025-09-06,86.0,88.0,91.96666666666667,92.14285714285714,91.19166666666666,91.86666666666667,89.7880238520948
2025-09-07,91.0,91.0,91.9,91.85714285714286,90.75,91.48,89.71906798502414
2025-09-08,92.0,86.0,91.8,90.85714285714286,90.475,90.6,89.31925540443204
2025-09-09,89.0,91.0,91.9,90.42857142857143,91.325,90.28,89.25995719932226
2025-09-10,92.0,92.0,92.2,90.28571428571429,91.875,90.64,89.327328356265
2025-09-11,94.0,89.0,92.2,89.57142857142857,92.775,90.75999999999999,89.12261760733126
2025-09-12,90.0,92.0,92.23333333333333,89.85714285714286,92.83333333333333,90.89333333333335,89.2327676654083
2025-09-13,91.0,94.0,92.33333333333333,90.71428571428571,92.83333333333333,91.89333333333332,89.53160534483983
2025-09-14,91.0,90.0,92.3,90.57142857142857,93.05,91.76,89.44731794357357
2025-09-15,89.0,91.0,92.3,91.28571428571429,92.5,91.64,89.75118866273944
2025-09-16,92.0,91.0,92.23333333333333,91.28571428571429,91.90833333333333,91.85333333333332,89.73397463407892
2025-09-17,85.0,89.0,92.1,90.85714285714286,91.82499999999999,91.44,89.52157990786404
2025-09-18,87.0,92.0,92.1,91.28571428571429,91.77499999999999,91.19999999999999,89.69704274551334
2025-09-19,92.0,85.0,91.8,90.28571428571429,90.95,90.47999999999999,89.13916552246748
2025-09-20,89.0,87.0,91.53333333333333,89.28571428571429,90.85833333333333,89.89333333333333,88.76110433598512
2025-09-21,86.0,92.0,91.36666666666666,89.57142857142857,90.54166666666666,89.94666666666666,88.83462698182903
2025-09-22,90.0,89.0,91.26666666666667,89.28571428571429,91.29166666666666,89.90666666666667,88.70217763949094
2025-09-23,88.0,86.0,90.96666666666667,88.57142857142857,91.19166666666666,89.06666666666666,88.33567757123583
