age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,pitcher_id,season
34,33,33,169,231,82,19,2,30,126,53,0,166,9,.243,683,.304,.408,.712,5,13,.722,.278,17,2899,3.90,184.2,15,4,0,0,0,0,80,1.19,754,554,33,1,1,1890,.650,9,1,13,2,279,0.73,.789,15.70,0,2.38,6.14,2.58,8.09,4.00,1.46,0,0,0,4,5,571666,2019
35,5,5,9,52,19,3,2,7,11,8,0,23,3,.242,95,.321,.537,.858,0,0,.---,.---,1,408,6.85,23.2,0,2,0,0,0,0,18,1.31,106,71,5,0,0,254,.620,3,0,2,0,51,0.17,.000,17.24,0,1.38,4.18,3.04,8.75,7.23,2.66,0,0,0,0,0,462136,2019
26,32,32,212,118,76,29,1,22,226,79,0,139,7,.202,688,.290,.343,.633,2,8,.800,.200,17,3158,3.40,190.2,15,8,0,0,0,0,72,1.14,781,572,32,0,0,1942,.610,7,3,5,1,236,1.80,.652,16.56,0,2.86,10.67,3.73,6.56,3.59,1.04,0,0,0,6,1,622491,2019
23,28,28,195,159,80,19,10,15,122,70,2,154,9,.247,624,.329,.381,.710,2,1,.333,.667,22,2711,4.19,165.1,7,14,0,0,0,0,77,1.35,709,496,28,0,0,1682,.620,9,1,9,0,238,1.23,.333,16.40,0,1.74,6.64,3.81,8.38,4.35,0.82,0,0,0,1,5,641745,2019
32,29,29,230,142,53,35,0,17,163,24,2,160,4,.234,685,.263,.359,.622,1,1,.500,.500,17,2706,2.32,182.2,14,5,0,0,0,0,47,1.01,723,548,29,1,1,1799,.660,4,0,0,2,246,1.62,.737,14.81,0,6.79,8.03,1.18,7.88,2.61,0.84,0,0,0,8,2,547943,2019
34,27,27,123,142,59,43,0,18,243,33,2,144,7,.222,650,.266,.371,.637,1,8,.889,.111,7,2770,2.92,172.1,11,7,0,0,0,0,56,1.03,693,517,27,0,0,1912,.690,7,0,0,0,241,0.87,.611,16.07,0,7.36,12.69,1.72,7.52,3.08,0.94,0,0,1,0,2,453286,2019
24,30,29,134,165,82,35,0,20,138,51,4,158,5,.268,589,.330,.430,.760,1,2,.667,.333,11,2510,4.45,149.2,8,10,0,0,0,0,74,1.40,651,449,30,0,0,1634,.650,5,1,4,2,253,0.81,.444,16.77,0,2.71,8.30,3.07,9.50,4.93,1.20,2,0,0,3,3,641778,2019
27,34,34,201,246,106,50,3,23,147,56,1,210,6,.264,794,.314,.422,.736,2,7,.778,.222,22,3232,3.99,203.0,16,13,0,0,0,0,90,1.31,866,609,34,0,0,2147,.660,6,1,2,0,335,0.82,.552,15.92,0,2.63,6.52,2.48,9.31,4.70,1.02,0,0,0,1,9,594835,2019
26,23,23,70,87,53,18,0,14,147,40,1,96,1,.241,399,.311,.391,.702,9,15,.625,.375,4,1891,4.29,107.0,6,8,0,0,0,0,51,1.27,441,321,23,0,0,1213,.640,1,1,11,4,156,0.80,.429,17.67,0,3.68,12.36,3.36,8.07,4.46,1.18,0,0,0,0,1,605483,2019
31,32,32,170,228,86,28,0,30,200,68,1,190,7,.244,779,.308,.395,.703,4,13,.765,.235,23,3358,3.59,208.1,14,10,0,0,0,0,83,1.24,863,625,32,2,1,2172,.650,7,0,2,3,308,0.75,.583,16.12,0,2.94,8.64,2.94,8.21,3.72,1.30,0,0,0,3,6,501985,2019
