date,trade_id,game_date,game_time,home_team,away_team,team_betting_on,is_home,model_prob,kalshi_price,edge,edge_pct,recommended_bet,kalshi_ticker,status,actual_result,profit_loss,bankroll_after
2025-12-19 17:37:14.060743,PT001,2025-12-19,00:00,New York Knicks,Philadelphia 76ers,New York Knicks,True,0.9033218680466004,0.68,0.2233218680466002,22.332186804660022,80.0,KXNBAGAME-25DEC19PHINYK-NYK,completed,lost,-80.0,920.0
2025-12-19 17:37:14.067121,PT002,2025-12-19,00:30,Cleveland Cavaliers,Chicago Bulls,Cleveland Cavaliers,True,0.7409611994030706,0.6,0.1409611994030706,14.096119940307062,80.0,KXNBAGAME-25DEC19CHICLE-CLE,completed,lost,-80.0,840.0
2025-12-19 17:37:14.068995,PT003,2025-12-19,00:00,Boston Celtics,Miami Heat,Boston Celtics,True,0.8409083998840498,0.71,0.1309083998840498,13.090839988404978,80.0,KXNBAGAME-25DEC19MIABOS-BOS,completed,won,32.676056338028175,872.6760563380282
2025-12-19 17:37:14.070587,PT004,2025-12-19,00:30,Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,True,0.4362443483707488,0.38,0.0562443483707488,5.624434837074882,22.679172730140653,KXNBAGAME-25DEC19SASATL-ATL,completed,lost,-22.679172730140653,849.9968836078875
2025-12-20 08:36:40.784020,PT005,2025-12-20,22:00,Denver Nuggets,Houston Rockets,Denver Nuggets,True,0.7193944698240903,0.49,0.2293944698240902,22.939446982409027,80.0,KXNBAGAME-25DEC20HOUDEN-DEN,completed,lost,-80.0,769.9968836078875
2025-12-20 08:36:40.795207,PT006,2025-12-20,03:30,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,True,0.6825607843095001,0.46,0.2225607843095,22.256078430950005,80.0,KXNBAGAME-25DEC20LALLAC-LAC,pending,,,1000.0
2025-12-20 08:36:40.798782,PT007,2025-12-20,00:00,New Orleans Pelicans,Indiana Pacers,Indiana Pacers,False,0.5794994891435076,0.43,0.1494994891435075,14.949948914350758,65.56995137873139,KXNBAGAME-25DEC20INDNOP-IND,completed,lost,-65.56995137873139,726.7765700323502
2025-12-20 08:36:40.801206,PT008,2025-12-20,03:00,Sacramento Kings,Portland Trail Blazers,Sacramento Kings,True,0.5285486421246207,0.38,0.1485486421246207,14.854864212462072,59.89864601799223,KXNBAGAME-25DEC20PORSAC-SAC,pending,,,1000.0
2025-12-20 08:36:40.804290,PT009,2025-12-20,00:30,Detroit Pistons,Charlotte Hornets,Detroit Pistons,True,0.9356604446472592,0.8,0.1356604446472592,13.566044464725923,80.0,KXNBAGAME-25DEC20CHADET-DET,completed,won,20.0,812.3465214110815
2025-12-20 08:36:40.806140,PT010,2025-12-20,02:30,Utah Jazz,Orlando Magic,Utah Jazz,True,0.3692655701023967,0.29,0.0792655701023967,7.9265570102396765,27.91041200788619,KXNBAGAME-25DEC20ORLUTA-UTA,pending,,,1000.0
2025-12-20 08:36:40.808700,PT011,2025-12-20,00:00,Philadelphia 76ers,Dallas Mavericks,Philadelphia 76ers,True,0.6318511597034101,0.58,0.0518511597034101,5.185115970341014,30.863785537744132,KXNBAGAME-25DEC20DALPHI-PHI,completed,won,22.34963780319403,792.3465214110815
2025-12-20 08:36:40.811094,PT012,2025-12-20,01:00,Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,True,0.8900152863358227,0.84,0.0500152863358227,5.001528633582275,78.14888489972297,KXNBAGAME-25DEC20WASMEM-MEM,completed,lost,-78.14888489972297,698.2710708504391
2025-12-20 08:36:40.815363,PT013,2025-12-20,01:30,Golden State Warriors,Phoenix Suns,Phoenix Suns,False,0.363320258597701,0.32,0.043320258597701,4.332025859770106,15.926565660919517,KXNBAGAME-25DEC20PHXGSW-PHX,completed,lost,-15.926565660919517,776.419955750162
