kelly_fraction,min_edge,k_factor,home_advantage,roi,sharpe,win_rate,bets_made
0.25,0.03,16,75,238.7461440821785,1.749216657000761,57.638888888888886,144
0.25,0.03,16,100,423.9623154231234,3.2253725233338972,65.94202898550725,138
0.25,0.03,16,125,231.09934840726513,2.2658225323553776,67.14285714285714,140
0.25,0.03,20,75,162.32818303198988,1.5516755048832802,60.30534351145038,131
0.25,0.03,20,100,49.3006609936938,1.26747351441318,59.589041095890416,146
0.25,0.03,20,125,30.39473366759792,-0.03968106352382197,57.14285714285714,161
0.25,0.03,24,75,442.1016463696339,2.9690086418237205,61.64383561643836,146
0.25,0.03,24,100,23.214785867317072,0.22522813305223408,58.67768595041323,121
0.25,0.03,24,125,368.2257790948609,3.4860220382986733,65.95744680851064,141
0.25,0.05,16,75,322.8322586125481,4.5263194725123,72.46376811594203,69
0.25,0.05,16,100,257.7170218495895,3.4375779408400637,59.42028985507246,69
0.25,0.05,16,125,101.20707569935962,2.2410911284414055,68.85245901639344,61
0.25,0.05,20,75,349.45058135091904,4.193845411740705,67.64705882352942,68
0.25,0.05,20,100,31.492166938505058,-0.026535129321377526,58.730158730158735,63
0.25,0.05,20,125,200.26589927535534,3.1625173727237477,59.09090909090909,66
0.25,0.05,24,75,233.02170340704262,3.1321766667257536,57.333333333333336,75
0.25,0.05,24,100,107.63283675942374,2.679484325557251,52.307692307692314,65
0.25,0.05,24,125,589.7712043276124,4.648706924531828,67.10526315789474,76
0.25,0.08,16,75,111.7552595126022,5.93035216552206,72.0,25
0.25,0.08,16,100,34.6460596115123,1.1200714448220055,56.41025641025641,39
0.25,0.08,16,125,62.57779043919616,2.552703013357134,58.620689655172406,29
0.25,0.08,20,75,97.53322815913316,3.343579630216625,50.0,36
0.25,0.08,20,100,261.3632075015929,4.195965458528885,65.625,32
0.25,0.08,20,125,30.75401557299051,3.870747613556217,64.70588235294117,17
0.25,0.08,24,75,38.68391592169057,3.3883164518340982,58.333333333333336,24
0.25,0.08,24,100,121.38869419146437,5.499436607763844,64.0,25
0.25,0.08,24,125,267.72465929298346,6.36114906200659,74.07407407407408,27
0.25,0.1,16,75,63.53022946746953,4.957018635646847,66.66666666666666,18
0.25,0.1,16,100,104.61359373134734,6.805094996490993,68.75,16
0.25,0.1,16,125,51.69073013967515,2.962781979786918,68.18181818181817,22
0.25,0.1,20,75,105.02681890266841,6.884885296935244,64.70588235294117,17
0.25,0.1,20,100,19.662139922398023,2.7491546720856874,60.0,15
0.25,0.1,20,125,0.07406876754828318,0.1544954123339063,51.85185185185185,27
0.25,0.1,24,75,13.74076777506548,-0.29322125753996553,54.54545454545454,22
0.25,0.1,24,100,167.01001805965694,4.724159170815675,66.66666666666666,24
0.25,0.1,24,125,28.893697619889757,1.5268506049483397,57.692307692307686,26
0.5,0.03,16,75,446.8555428270771,2.9561800868423247,62.5,144
0.5,0.03,16,100,275.35099201376755,2.0356983649899623,59.375,128
0.5,0.03,16,125,207.49912090971824,2.231020677424298,64.70588235294117,136
0.5,0.03,20,75,1613.838040941544,3.2504630649384905,66.66666666666666,132
0.5,0.03,20,100,927.7046520300836,3.042383534419582,64.34108527131784,129
0.5,0.03,20,125,1493.5930993481606,2.715824232648501,65.56291390728477,151
0.5,0.03,24,75,861.9612908092314,3.129647237608598,62.31884057971014,138
0.5,0.03,24,100,276.39486679009826,2.243615426462437,59.71223021582733,139
0.5,0.03,24,125,819.2255670836145,3.0367200551113687,64.42953020134227,149
0.5,0.05,16,75,122.87195256256665,2.091913648340196,50.0,58
0.5,0.05,16,100,12.700488331496922,1.7953799124720733,52.85714285714286,70
0.5,0.05,16,125,236.7284136327382,2.701662157672738,61.66666666666667,60
0.5,0.05,20,75,767.7395988801594,3.7523923511635893,60.86956521739131,69
0.5,0.05,20,100,316.2550898079652,3.0339634169677434,57.57575757575758,66
0.5,0.05,20,125,324.3811630989117,2.401495763714532,62.65060240963856,83
