date,forecast,actual,error,abs_error,bin_correct
2025-05-29,64.0,71.0,-7.0,7.0,False
2025-05-30,71.0,74.0,-3.0,3.0,True
2025-05-31,74.0,64.0,10.0,10.0,False
2025-06-01,64.0,66.0,-2.0,2.0,False
2025-06-02,66.0,85.0,-19.0,19.0,False
2025-06-03,85.0,89.0,-4.0,4.0,True
2025-06-04,89.0,75.0,14.0,14.0,False
2025-06-05,75.0,72.0,3.0,3.0,False
2025-06-06,72.0,78.0,-6.0,6.0,False
2025-06-07,78.0,78.0,0.0,0.0,True
2025-06-08,78.0,82.0,-4.0,4.0,False
2025-06-09,82.0,74.0,8.0,8.0,False
2025-06-10,74.0,79.0,-5.0,5.0,False
2025-06-11,79.0,91.0,-12.0,12.0,False
2025-06-12,91.0,82.0,9.0,9.0,False
2025-06-13,82.0,72.0,10.0,10.0,False
2025-06-14,72.0,75.0,-3.0,3.0,False
2025-06-15,75.0,81.0,-6.0,6.0,False
2025-06-16,81.0,86.0,-5.0,5.0,False
2025-06-17,86.0,92.0,-6.0,6.0,False
2025-06-18,92.0,83.0,9.0,9.0,False
2025-06-19,83.0,84.0,-1.0,1.0,True
2025-06-20,84.0,86.0,-2.0,2.0,False
2025-06-21,86.0,95.0,-9.0,9.0,False
2025-06-22,95.0,95.0,0.0,0.0,True
2025-06-23,95.0,95.0,0.0,0.0,True
2025-06-24,95.0,96.0,-1.0,1.0,True
2025-06-25,96.0,89.0,7.0,7.0,False
2025-06-26,89.0,95.0,-6.0,6.0,False
2025-06-27,95.0,89.0,6.0,6.0,False
2025-06-28,89.0,86.0,3.0,3.0,True
2025-06-29,86.0,93.0,-7.0,7.0,False
2025-06-30,93.0,91.0,2.0,2.0,True
2025-07-01,91.0,88.0,3.0,3.0,False
2025-07-02,88.0,91.0,-3.0,3.0,False
2025-07-03,91.0,92.0,-1.0,1.0,True
2025-07-04,92.0,92.0,0.0,0.0,True
2025-07-05,92.0,94.0,-2.0,2.0,True
2025-07-06,94.0,88.0,6.0,6.0,False
2025-07-07,88.0,82.0,6.0,6.0,False
2025-07-08,82.0,85.0,-3.0,3.0,False
2025-07-09,85.0,84.0,1.0,1.0,False
2025-07-10,84.0,84.0,0.0,0.0,True
2025-07-11,84.0,91.0,-7.0,7.0,False
2025-07-12,91.0,84.0,7.0,7.0,False
2025-07-13,84.0,84.0,0.0,0.0,True
2025-07-14,84.0,87.0,-3.0,3.0,False
2025-07-15,87.0,92.0,-5.0,5.0,False
2025-07-16,92.0,92.0,0.0,0.0,True
2025-07-17,92.0,75.0,17.0,17.0,False
2025-07-18,75.0,81.0,-6.0,6.0,False
2025-07-19,81.0,85.0,-4.0,4.0,False
2025-07-20,85.0,79.0,6.0,6.0,False
2025-07-21,79.0,83.0,-4.0,4.0,False
2025-07-22,83.0,88.0,-5.0,5.0,False
2025-07-23,88.0,94.0,-6.0,6.0,False
2025-07-24,94.0,96.0,-2.0,2.0,False
2025-07-25,96.0,84.0,12.0,12.0,False
2025-07-26,84.0,85.0,-1.0,1.0,False
2025-07-27,85.0,90.0,-5.0,5.0,False
2025-07-28,90.0,93.0,-3.0,3.0,True
2025-07-29,93.0,93.0,0.0,0.0,True
2025-07-30,93.0,82.0,11.0,11.0,False
2025-07-31,82.0,78.0,4.0,4.0,False
2025-08-01,78.0,77.0,1.0,1.0,True
2025-08-02,77.0,79.0,-2.0,2.0,True
2025-08-03,79.0,80.0,-1.0,1.0,False
2025-08-04,80.0,82.0,-2.0,2.0,True
2025-08-05,82.0,84.0,-2.0,2.0,True
2025-08-06,84.0,89.0,-5.0,5.0,False
2025-08-07,89.0,91.0,-2.0,2.0,False
2025-08-08,91.0,93.0,-2.0,2.0,True
2025-08-09,93.0,94.0,-1.0,1.0,True
2025-08-10,94.0,92.0,2.0,2.0,True
2025-08-11,92.0,89.0,3.0,3.0,False
2025-08-12,89.0,88.0,1.0,1.0,True
2025-08-13,88.0,85.0,3.0,3.0,True
2025-08-14,85.0,84.0,1.0,1.0,False
2025-08-15,84.0,92.0,-8.0,8.0,False
2025-08-16,92.0,96.0,-4.0,4.0,False
2025-08-17,96.0,84.0,12.0,12.0,False
2025-08-18,84.0,88.0,-4.0,4.0,False
2025-08-19,88.0,80.0,8.0,8.0,False
2025-08-20,80.0,77.0,3.0,3.0,False
2025-08-21,77.0,78.0,-1.0,1.0,True
2025-08-22,78.0,82.0,-4.0,4.0,False
2025-08-23,82.0,86.0,-4.0,4.0,False
2025-08-24,86.0,75.0,11.0,11.0,False
2025-08-25,75.0,72.0,3.0,3.0,False
2025-08-26,72.0,75.0,-3.0,3.0,False
