date,home_team,away_team,home_score,away_score,home_won
2021-10-15,Golden State Warriors,Oklahoma City Thunder,111,105,True
2021-10-15,Washington Wizards,Denver Nuggets,104,113,False
2021-10-15,LA Clippers,San Antonio Spurs,106,105,True
2021-10-15,Sacramento Kings,Oklahoma City Thunder,106,115,False
2021-10-15,Milwaukee Bucks,Washington Wizards,109,102,True
2021-10-15,Toronto Raptors,Sacramento Kings,109,136,False
2021-10-15,Brooklyn Nets,Milwaukee Bucks,110,121,False
2021-10-15,Miami Heat,Cleveland Cavaliers,113,112,True
2021-10-16,Sacramento Kings,Chicago Bulls,108,100,True
2021-10-16,Brooklyn Nets,Cleveland Cavaliers,125,105,True
2021-10-16,Indiana Pacers,Atlanta Hawks,111,125,False
2021-10-16,Washington Wizards,Indiana Pacers,121,109,True
2021-10-16,Indiana Pacers,Toronto Raptors,123,141,False
2021-10-16,Golden State Warriors,Dallas Mavericks,119,112,True
2021-10-16,Washington Wizards,Dallas Mavericks,131,139,False
2021-10-16,Memphis Grizzlies,Toronto Raptors,119,109,True
2021-10-16,Charlotte Hornets,Boston Celtics,112,120,False
2021-10-16,Phoenix Suns,Sacramento Kings,123,114,True
2021-10-16,New York Knicks,Houston Rockets,116,109,True
2021-10-16,Utah Jazz,Houston Rockets,138,91,True
2021-10-16,Houston Rockets,Cleveland Cavaliers,107,118,False
2021-10-16,Detroit Pistons,New Orleans Pelicans,122,117,True
2021-10-17,Oklahoma City Thunder,LA Lakers,135,99,True
2021-10-17,LA Clippers,Washington Wizards,104,118,False
2021-10-17,Detroit Pistons,Miami Heat,112,119,False
2021-10-17,Minnesota Timberwolves,Brooklyn Nets,120,91,True
2021-10-17,New York Knicks,Phoenix Suns,99,108,False
2021-10-17,Orlando Magic,Washington Wizards,103,96,True
2021-10-17,Memphis Grizzlies,Houston Rockets,124,101,True
2021-10-17,Memphis Grizzlies,Phoenix Suns,115,87,True
2021-10-17,Boston Celtics,New York Knicks,122,97,True
2021-10-17,Charlotte Hornets,LA Lakers,100,94,True
2021-10-18,Sacramento Kings,Brooklyn Nets,124,85,True
2021-10-18,Milwaukee Bucks,New Orleans Pelicans,110,109,True
2021-10-18,San Antonio Spurs,Milwaukee Bucks,118,124,False
2021-10-18,Phoenix Suns,Golden State Warriors,96,117,False
